Timestamp,blocks-size
2019/5/11 0:00,218244.8632
2019/5/14 0:00,218758.5193
2019/5/17 0:00,219330.9069
2019/5/20 0:00,219893.417
2019/5/23 0:00,220458.766
2019/5/26 0:00,221044.9642
2019/5/29 0:00,221574.0787
2019/6/1 0:00,222188.3826
2019/6/4 0:00,222684.5637
2019/6/7 0:00,223225.6441
2019/6/10 0:00,223736.2071
2019/6/13 0:00,224233.9051
2019/6/16 0:00,224807.8811
2019/6/19 0:00,225304.7937
2019/6/22 0:00,225890.9133
2019/6/25 0:00,226442.9625
2019/6/28 0:00,227045.0484
2019/7/1 0:00,227624.6322
2019/7/4 0:00,228153.6181
2019/7/7 0:00,228742.1726
2019/7/10 0:00,229238.1017
2019/7/13 0:00,229741.6177
2019/7/16 0:00,230229.655
2019/7/19 0:00,230727.0334
2019/7/22 0:00,231213.4381
2019/7/25 0:00,231662.7592
2019/7/28 0:00,232145.4963
2019/7/31 0:00,232560.5322
2019/8/3 0:00,233061.9215
2019/8/6 0:00,233521.0444
2019/8/9 0:00,234047.6947
2019/8/12 0:00,234531.0748
2019/8/15 0:00,234976.948
2019/8/18 0:00,235469.7083
2019/8/21 0:00,235870.0601
2019/8/24 0:00,236371.4693
2019/8/27 0:00,236820.0764
2019/8/30 0:00,237293.8004
2019/9/2 0:00,237764.011
2019/9/5 0:00,238226.4687
2019/9/8 0:00,238727.0473
2019/9/11 0:00,239150.8737
2019/9/14 0:00,239655.079
2019/9/17 0:00,240083.5187
2019/9/20 0:00,240612.7172
2019/9/23 0:00,241080.0252
2019/9/26 0:00,241545.9857
2019/9/29 0:00,242028.7185
2019/10/2 0:00,242441.6691
2019/10/5 0:00,242903.3179
2019/10/8 0:00,243323.3043
2019/10/11 0:00,243778.9535
2019/10/14 0:00,244223.8165
2019/10/17 0:00,244635.2358
2019/10/20 0:00,245110.5279
2019/10/23 0:00,245531.892
2019/10/26 0:00,246003.4281
2019/10/28 23:00,246466.0554
2019/10/31 23:00,246927.5615
2019/11/3 23:00,247365.135
2019/11/6 23:00,247816.5568
2019/11/9 23:00,248293.0382
2019/11/12 23:00,248735.3433
2019/11/15 23:00,249196.6736
2019/11/18 23:00,249716.6728
2019/11/21 23:00,250173.119
2019/11/24 23:00,250650.257
2019/11/27 23:00,251052.507
2019/11/30 23:00,251503.1508
2019/12/3 23:00,251906.9593
2019/12/6 23:00,252362.4822
2019/12/9 23:00,252773.3986
2019/12/12 23:00,253256.6954
2019/12/15 23:00,253689.3456
2019/12/18 23:00,254176.4964
2019/12/21 23:00,254640.3644
2019/12/24 23:00,255046.852
2019/12/27 23:00,255439.4845
2019/12/30 23:00,255841.5861
2020/1/2 23:00,256251.623
2020/1/5 23:00,256682.8725
