Timestamp,n-payments-per-block
2018-01-07 23:00:00,4434.150481640288
2018-01-08 23:00:00,4626.468820931519
2018-01-09 23:00:00,4710.083049592603
2018-01-10 23:00:00,4657.58183271417
2018-01-11 23:00:00,4420.596900917617
2018-01-12 23:00:00,4181.608613923712
2018-01-13 23:00:00,4057.2466144259265
2018-01-14 23:00:00,3864.373223062212
2018-01-15 23:00:00,3747.663125529223
2018-01-16 23:00:00,3641.2457411801774
2018-01-17 23:00:00,3561.168767760408
2018-01-18 23:00:00,3582.6360046177133
2018-01-19 23:00:00,3509.289426476753
2018-01-20 23:00:00,3383.1019056045925
2018-01-21 23:00:00,3273.5245429293172
2018-01-22 23:00:00,3160.855823225867
2018-01-23 23:00:00,3001.94021873655
2018-01-24 23:00:00,2846.789254431394
2018-01-25 23:00:00,2737.5084476914885
2018-01-26 23:00:00,2709.2317824212746
2018-01-27 23:00:00,2749.2832796966322
2018-01-28 23:00:00,2804.3081078096957
2018-01-29 23:00:00,2819.914794051113
2018-01-30 23:00:00,2797.68775660059
2018-01-31 23:00:00,2890.8108279736616
2018-02-01 23:00:00,2918.551549040569
2018-02-02 23:00:00,2911.488634842632
2018-02-03 23:00:00,2824.5080886614087
2018-02-04 23:00:00,2704.965552545839
2018-02-05 23:00:00,2597.063622043908
2018-02-06 23:00:00,2650.687226934966
2018-02-07 23:00:00,2579.2252728134376
2018-02-08 23:00:00,2501.3616482223797
2018-02-09 23:00:00,2522.2741954634985
2018-02-10 23:00:00,2529.9098635928376
2018-02-11 23:00:00,2551.874821657319
2018-02-12 23:00:00,2537.8492273883517
2018-02-13 23:00:00,2409.556554709524
2018-02-14 23:00:00,2293.6574812800804
2018-02-15 23:00:00,2357.0217124687397
2018-02-16 23:00:00,2262.577274764429
2018-02-17 23:00:00,2228.2940345147463
2018-02-18 23:00:00,2213.897185758074
2018-02-19 23:00:00,2222.3687545730163
2018-02-20 23:00:00,2297.8850579807317
2018-02-21 23:00:00,2331.627413605339
2018-02-22 23:00:00,2320.5402238342003
2018-02-23 23:00:00,2345.0355266893757
2018-02-24 23:00:00,2331.0634567320244
2018-02-25 23:00:00,2305.1151600644293
2018-02-26 23:00:00,2367.595459512814
2018-02-27 23:00:00,2372.992679624263
2018-02-28 23:00:00,2419.364882607384
2018-03-01 23:00:00,2392.7576075558136
2018-03-02 23:00:00,2478.02483357304
2018-03-03 23:00:00,2480.2606299605604
2018-03-04 23:00:00,2541.913083165645
2018-03-05 23:00:00,2523.791489018919
2018-03-06 23:00:00,2497.094350740531
2018-03-07 23:00:00,2501.1889411306215
2018-03-08 23:00:00,2445.543502618516
2018-03-09 23:00:00,2437.6571937219333
2018-03-10 23:00:00,2433.2401869192117
2018-03-11 23:00:00,2388.6911294583892
2018-03-12 23:00:00,2352.6600556924373
2018-03-13 23:00:00,2324.400017207715
2018-03-14 23:00:00,2290.9867248206965
2018-03-15 23:00:00,2347.1148112404494
2018-03-16 23:00:00,2285.3390322249447
2018-03-17 23:00:00,2269.9553998458186
2018-03-18 23:00:00,2302.859401181452
2018-03-19 23:00:00,2299.3932306459164
2018-03-20 23:00:00,2361.336325575506
2018-03-21 23:00:00,2342.7213506381627
2018-03-22 23:00:00,2304.9445302363424
2018-03-23 23:00:00,2336.277340283438
2018-03-24 23:00:00,2326.1772468645527
2018-03-26 00:00:00,2299.031726699165
2018-03-27 00:00:00,2304.455874164603
2018-03-28 00:00:00,2241.9985744191767
2018-03-29 00:00:00,2258.5972795152497
2018-03-30 00:00:00,2248.5355451969367
2018-03-31 00:00:00,2206.8206296010685
2018-04-01 00:00:00,2240.634903868468
2018-04-02 00:00:00,2198.983228383459
2018-04-03 00:00:00,2161.7374042076344
2018-04-04 00:00:00,2155.7968280740492
2018-04-05 00:00:00,2164.2311008307706
2018-04-06 00:00:00,2126.904057260306
2018-04-07 00:00:00,2203.37821568374
2018-04-08 00:00:00,2118.77261052501
2018-04-09 00:00:00,2120.1528344342196
2018-04-10 00:00:00,2140.1340521960497
2018-04-11 00:00:00,2129.1080961455164
2018-04-12 00:00:00,2066.238488675199
2018-04-13 00:00:00,2113.9309628676733
2018-04-14 00:00:00,2065.1675147216165
2018-04-15 00:00:00,2158.851375224455
2018-04-16 00:00:00,2215.4601851928273
2018-04-17 00:00:00,2265.3906072096584
2018-04-18 00:00:00,2295.004568150855
2018-04-19 00:00:00,2346.2627203247685
2018-04-20 00:00:00,2334.1333609201283
2018-04-21 00:00:00,2418.9948580604573
2018-04-22 00:00:00,2433.3117762338693
2018-04-23 00:00:00,2440.6718715449997
2018-04-24 00:00:00,2474.409678724609
2018-04-25 00:00:00,2558.080604816919
2018-04-26 00:00:00,2686.9385461641896
2018-04-27 00:00:00,2766.8735609063997
2018-04-28 00:00:00,2749.103363077088
2018-04-29 00:00:00,2875.921359202425
2018-04-30 00:00:00,2906.565945549622
2018-05-01 00:00:00,2882.2017697717843
2018-05-02 00:00:00,2839.044997676751
2018-05-03 00:00:00,2771.681699186623
2018-05-04 00:00:00,2756.811968851204
2018-05-05 00:00:00,2767.982047292868
2018-05-06 00:00:00,2656.880831398902
2018-05-07 00:00:00,2673.692964290495
2018-05-08 00:00:00,2663.963993476363
2018-05-09 00:00:00,2715.4077144489524
2018-05-10 00:00:00,2657.252357306095
2018-05-11 00:00:00,2619.175430448657
2018-05-12 00:00:00,2666.9073308089382
2018-05-13 00:00:00,2649.6151687267143
2018-05-14 00:00:00,2595.608714931939
2018-05-15 00:00:00,2662.8364638496882
2018-05-16 00:00:00,2623.425181134178
